"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"13070323"	888.554365130005	46.12117	-64.87518	"46.12117,-64.87518"	43	FALSE	""
"24810221"	174.89910769576	45.46021	-75.74971	"45.46021,-75.74971"	43	FALSE	""
"24540215"	605.72620185482	45.64222	-72.93614	"45.64222,-72.93614"	43	FALSE	""
"35430584"	167.212190187145	44.74851	-79.88063	"44.74851,-79.88063"	43	FALSE	""
"59070299"	487.31341579417	49.4999	-119.61778	"49.4999,-119.61778"	43	FALSE	""
"24662839"	541.550142975001	45.62327	-73.59151	"45.62327,-73.59151"	43	FALSE	""
"10050097"	353.793578342636	49.01055	-57.59084	"49.01055,-57.59084"	43	FALSE	""
"47110643"	511.626300860691	51.33289	-106.59755	"51.33289,-106.59755"	43	FALSE	""
"13100200"	543.374925329698	45.97752	-66.66418	"45.97752,-66.66418"	43	FALSE	""
"13030085"	1089.04091772506	45.7587	-66.48547	"45.7587,-66.48547"	43	FALSE	""
"35203676"	965.248736852438	43.76574	-79.16166	"43.76574,-79.16166"	43	FALSE	""
"59230105"	388.418708409426	49.25999	-124.81202	"49.25999,-124.81202"	43	FALSE	""
"35340220"	8636.41942407593	42.53858	-81.62087	"42.53858,-81.62087"	43	FALSE	""
"24230103"	480.25061325467	46.89456	-71.16488	"46.89456,-71.16488"	43	FALSE	""
"35300041"	306.524126974168	43.48493	-80.55707	"43.48493,-80.55707"	43	FALSE	""
"35300357"	452.128674481322	43.43547	-80.4688	"43.43547,-80.4688"	43	FALSE	""
"35570302"	672.423864051659	46.72987	-84.5159	"46.72987,-84.5159"	43	FALSE	""
"10010783"	493.36625253619	47.66127	-52.74042	"47.66127,-52.74042"	43	FALSE	""
"35203507"	216.311439350176	43.69764	-79.26958	"43.69764,-79.26958"	43	FALSE	""
"35203128"	139.752797635286	43.63353	-79.48853	"43.63353,-79.48853"	43	FALSE	""
"35530355"	294.168259858319	46.54943	-80.88259	"46.54943,-80.88259"	43	FALSE	""
"24440046"	509.180048522509	45.12899	-71.80074	"45.12899,-71.80074"	43	FALSE	""
"35180702"	232.049406670145	43.92211	-78.67557	"43.92211,-78.67557"	43	FALSE	""
"35060930"	249.907652568774	45.39263	-75.62206	"45.39263,-75.62206"	43	FALSE	""
"47090239"	825.4679047264	51.20476	-102.44598	"51.20476,-102.44598"	43	FALSE	""
"24580075"	158.853448935693	45.53246	-73.47434	"45.53246,-73.47434"	43	FALSE	""
