Census Profile - Dissemination Areas (DAs),,,,,,,,,,,,
Geo_Code,Prov_Name,DA_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
10010169,Newfoundland and Labrador,0169,Age characteristics,      16 years,,5,,5,,0,
10010169,Newfoundland and Labrador,0169,Age characteristics,      17 years,,0,,5,,0,
10010169,Newfoundland and Labrador,0169,Age characteristics,      18 years,,10,,5,,5,
10010169,Newfoundland and Labrador,0169,Age characteristics,      19 years,,10,,5,,0,
10010169,Newfoundland and Labrador,0169,Age characteristics,   20 to 24 years,,35,,20,,20,
10010169,Newfoundland and Labrador,0169,Age characteristics,   25 to 29 years,,25,,15,,10,
10010169,Newfoundland and Labrador,0169,Age characteristics,   30 to 34 years,,15,,5,,5,
10010169,Newfoundland and Labrador,0169,Age characteristics,   35 to 39 years,,30,,15,,15,
10010169,Newfoundland and Labrador,0169,Age characteristics,   40 to 44 years,,15,,10,,5,
10010169,Newfoundland and Labrador,0169,Age characteristics,   45 to 49 years,,30,,15,,15,
10010169,Newfoundland and Labrador,0169,Age characteristics,   50 to 54 years,,40,,20,,20,
10010169,Newfoundland and Labrador,0169,Age characteristics,   55 to 59 years,,25,,15,,15,
10010169,Newfoundland and Labrador,0169,Age characteristics,   60 to 64 years,,25,,10,,15,
10010169,Newfoundland and Labrador,0169,Age characteristics,   65 to 69 years,,10,,5,,0,
10010169,Newfoundland and Labrador,0169,Age characteristics,   70 to 74 years,,10,,5,,5,
10010169,Newfoundland and Labrador,0169,Age characteristics,   75 to 79 years,,5,,0,,5,
10010169,Newfoundland and Labrador,0169,Age characteristics,   80 to 84 years,,5,,0,,0,
10010169,Newfoundland and Labrador,0169,Age characteristics,   85 years and over,,5,,0,,0,
10010169,Newfoundland and Labrador,0169,Age characteristics,Median age of the population,5,37.5,,35.8,,39.2,
10010169,Newfoundland and Labrador,0169,Age characteristics,% of the population aged 15 and over,,86,,85.5,,84.2,
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,Population in 2011,1,437,,,...,,...
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,Total private dwellings,2,179,,,...,,...
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,Private dwellings occupied by usual residents,3,173,,,...,,...
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010170,Newfoundland and Labrador,0170,Population and dwelling counts,Land area (square km),,0.15,,,...,,...
10010170,Newfoundland and Labrador,0170,Age characteristics,Total population by age groups,4,435,,220,,220,
10010170,Newfoundland and Labrador,0170,Age characteristics,   0 to 4 years,,5,,5,,5,
10010170,Newfoundland and Labrador,0170,Age characteristics,   5 to 9 years,,15,,5,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   10 to 14 years,,30,,15,,15,
10010170,Newfoundland and Labrador,0170,Age characteristics,   15 to 19 years,,35,,20,,15,
10010170,Newfoundland and Labrador,0170,Age characteristics,      15 years,,5,,0,,0,
10010170,Newfoundland and Labrador,0170,Age characteristics,      16 years,,10,,5,,5,
10010170,Newfoundland and Labrador,0170,Age characteristics,      17 years,,5,,5,,0,
10010170,Newfoundland and Labrador,0170,Age characteristics,      18 years,,10,,5,,5,
10010170,Newfoundland and Labrador,0170,Age characteristics,      19 years,,10,,10,,0,
10010170,Newfoundland and Labrador,0170,Age characteristics,   20 to 24 years,,50,,25,,25,
10010170,Newfoundland and Labrador,0170,Age characteristics,   25 to 29 years,,30,,20,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   30 to 34 years,,10,,5,,5,
10010170,Newfoundland and Labrador,0170,Age characteristics,   35 to 39 years,,25,,10,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   40 to 44 years,,25,,15,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   45 to 49 years,,40,,15,,25,
